trip_id,customer_name,customer_phone,customer_area,driver_name,driver_phone,vehicle_plate,vehicle_make,vehicle_model,pickup_area,dropoff_area,trip_date,pickup_time,distance_km,payment_method,status,fare_amount,customer_rating
1,felix wafula,0752573081,Karen,Mercy Wanjiru,0781-747-623,KDA950K,HONDA,FIT,Westlands,Kasarani,02/02/25,17:39,27.1,M-Pesa,completed,"KES 1,320",3
2,Felix Wafula,0752573081,,David Kiprotich,0749589840,KDB560L,Toyota,Vitz,Ngong Road,,2025-05-09,07:40,22.8,Card,Complete,1126,3
3,James Wafula,0736895771,Buruburu,diana kamau,0731284168,KDD156F,Nissan,Advan,Parklands,,2025-04-22,16:43,22.1,CARD,COMPLETED,1095,4
4,Ivy Wanjiru,,Runda,Brian Mutua,0774860677,KDB560L,toyota,Vitz,Westlands,Runda,08/01/2025,22:31,8.3,card,Completed,474,5
5,Samuel Omondi,0720-576-936,Langata,MERCY WANJIRU,0781747623,KDD693I,Toyota,PREMIO,Buruburu,Kilimani,19/05/2025,11:09,5.1,M-Pesa,COMPLETED,KES 330,3
6,Ivy Njoroge,0752847276,Buruburu,Moses Kariuki,0781400181,kdc384m,SUBARU,Impreza,South B,Runda,2025-01-28,14:16,34.1,Cash,completed,"KES 1,635",4
7,Winnie Wafula,0781470948,Lavinngton,Amina Omondi,,kda950k,Honda,Fit,South B,Karen,11/05/2025,16:45,9.7,M-PESA,Completed,537,3
8,Mercy Wekesa,0797593711,Westllands,BRIAN KAMAU,0777194079,KDD693I,Toyota,Premio,Westlands,CBD,06-25-2025,15:12,26,Cash,Completed,1270,5
9,Mercy Barasa,+254766847125,Buruburu,Mercy Wanjiru,0781747623,kda950k,Honda,Fit,Lavington,WESTLANDS,2025-03-01,06:26,22.8,Card,Complete,1126,4
10,Ivy Wanjiru,0716748321,Runda,DIANA KAMAU,+254731284168,kdc384m,SUBARU,Impreza,South C,buruburu,2025-06-27,11:41,30.5,Card,COMPLETED,1473,5
11,mercy wekesa,,WESTLANDS,DAVID KIPROTICH,0749-589-840,KDD156F,Nissan,Advan,Karen,Kasarani,03-22-2025,07:39,20.8,Card,completed,1036,4
12,SAMUEL OMONDI,0720576936,LANGATA,Moses Kariuki,0781400181,KDB560L,toyota,Vitz,Parklands,Runda,2025-03-02,06:47,15,Card,Completed,775,3
13,Faith Kariuki,+254793595589,CBBD,  Hassan Wafula  ,0716564365,KDA542H,Mazda,Axela,Langata,South C,2025-06-15,22:29,-32.5,CASH,Completed,1563,4
14,Samuel Omondi,,Langata,HASSAN WAFULA,+254716564365,KDA542H,Mazda,Axela,RUNDA,Embakasi,10/05/2025,18:49,26.6,M-Pesa,completed,"KES 1,297",4
15,Faith Kariuki,0793595589,CBD,  Victor Odhiambo  ,0746693891,kdb833g,Toyota,Fielder,buruburu,,21/03/2025,19:09,18.6,Cash,COMPLETED,937,4
16,CYNTHIA CHEBET,0740139268,LANGATA,Diana Kamau,0731284168, KDA950K ,Honda,Fit,Kilimani,CBD,12/04/2025,17:51,21.8,m-pesa,Completed,1081,5
17,Samuel Cheruiyot,0744365845,Parklands,david kiprotich,0749-589-840,KDC384M,Subaru,Impreza,Embakasi,Kilimani,03-23-2025,09:58,6.4,M-PESA,Completed,388,4
18,Felix Achieng,0754759100,South B,  Hassan Wafula  ,0716564365,KDB833G,Toyota,Fielder,Embakasi,Karen,05-27-2025,17:18,2.5,Cash,COMPLETED,KES 213,3
19,Faith Mwangi,0717-791-214,South B,Brian Kamau,0777194079, KDA950K ,Honda,Fit,Lavington,,2025-05-27,17:19,23.6,Cash,Completed,1162,4
20,Felix Achieng,0754759100,South B,Victor Odhiambo,0746693891,KDA496F,Toyota,Axio,Kilimani,,2025-02-03,14:57,25.3,CASH,completed,1239,5
21,Felix Wekesa,0735584587,PARKLANDS,Elias Cheruiyot,0779736929,kda950k,HONDA,Fit,south c,Parklands,2025-01-07,19:24,6.3,CASH,Completed,384,4
